,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aksu,41.12,80.26,18.73,95,75,0.34,CN,1607567156
1,hobart,-42.88,147.33,62.01,44,40,17.22,AU,1607566837
2,neiafu,-18.65,-173.98,84.2,74,75,13.87,TO,1607567310
3,sobolevo,54.43,31.9,19.98,91,0,9.91,RU,1607567310
4,bethel,41.37,-73.41,33.01,97,75,5.82,US,1607567194
5,itaituba,-4.28,-55.98,74.52,93,99,1.66,BR,1607567310
6,bluff,-46.6,168.33,60.01,79,45,18.01,NZ,1607567097
7,yellowknife,62.46,-114.35,3.2,91,90,5.82,CA,1607566922
8,carnarvon,-24.87,113.63,75.2,73,40,16.11,AU,1607567178
9,isangel,-19.55,169.27,83.55,70,96,16.06,VU,1607567257
10,busselton,-33.65,115.33,93.99,9,64,11.52,AU,1607566885
11,astana,51.18,71.45,14.0,92,90,4.47,KZ,1607567260
12,cabo san lucas,22.89,-109.91,75.0,73,90,3.36,MX,1607567106
13,punta arenas,-53.15,-70.92,50.0,81,100,3.36,CL,1607567095
14,ushuaia,-54.8,-68.3,44.6,93,90,2.24,AR,1607567101
15,cafelandia,-21.8,-49.61,76.39,57,32,5.95,BR,1607567312
16,santa maria,-29.68,-53.81,69.8,83,0,4.7,BR,1607567313
17,saskylakh,71.92,114.08,-18.2,86,100,15.08,RU,1607567160
18,daoukro,7.06,-3.96,72.81,95,42,4.0,CI,1607567313
19,grindavik,63.84,-22.43,35.6,93,90,26.4,IS,1607567136
20,danielskuil,-28.19,23.54,63.5,30,0,2.55,ZA,1607567313
21,tiksi,71.69,128.87,-19.77,87,100,11.1,RU,1607567135
22,okhotsk,59.38,143.3,-6.52,90,58,10.04,RU,1607567314
23,cross lanes,38.42,-81.79,39.2,80,20,4.56,US,1607567314
24,rikitea,-23.12,-134.97,77.59,80,63,15.43,PF,1607567099
25,sturgis,41.8,-85.42,35.6,90,1,4.23,US,1607567314
26,bekhtery,46.25,32.29,33.8,89,90,11.18,UA,1607567314
27,poum,-20.23,164.02,82.18,74,37,11.63,NC,1607567315
28,leon,21.12,-101.67,60.8,44,20,6.93,MX,1607567129
29,qaanaaq,77.48,-69.36,3.42,88,100,4.0,GL,1607567099
30,mehamn,71.04,27.85,35.67,88,100,20.13,NO,1607567315
31,udachnyy,66.42,112.4,-40.0,65,0,4.47,RU,1607567315
32,khatanga,71.97,102.5,-32.17,85,49,1.59,RU,1607567182
33,anadyr,64.75,177.48,24.8,92,20,11.18,RU,1607567316
34,severo-kurilsk,50.68,156.12,27.07,87,90,22.7,RU,1607567183
35,taganak,6.08,118.3,86.0,74,20,4.7,PH,1607567316
36,esperance,-33.87,121.9,73.4,46,98,20.8,AU,1607567316
37,pontianak,-0.03,109.33,85.82,69,10,5.79,ID,1607567316
38,kavaratti,10.57,72.64,82.78,77,0,15.12,IN,1607567316
39,mataura,-46.19,168.86,60.01,79,84,18.01,NZ,1607567115
40,chalmette,29.94,-89.96,61.0,59,1,4.7,US,1607567081
41,mahebourg,-20.41,57.7,75.2,88,75,11.41,MU,1607567197
42,luderitz,-26.65,15.16,59.43,88,77,10.51,NA,1607566997
43,hermanus,-34.42,19.23,57.0,95,40,3.85,ZA,1607567101
44,port elizabeth,-33.92,25.57,64.4,93,75,4.7,ZA,1607567141
45,nikolskoye,59.7,30.79,19.99,78,0,8.95,RU,1607567174
46,nanzhang,31.78,111.84,49.03,57,52,1.9,CN,1607567378
47,baruun-urt,46.68,113.28,5.54,89,89,4.68,MN,1607567378
48,port alfred,-33.59,26.89,65.88,82,100,3.29,ZA,1607567101
49,jamestown,42.1,-79.24,37.0,100,90,8.05,US,1607566839
50,douentza,15.0,-2.95,68.77,26,0,4.94,ML,1607567378
51,kapaa,22.08,-159.32,80.6,74,75,9.17,US,1607567142
52,duvan,55.7,57.9,7.3,94,1,2.42,RU,1607567379
